code,description
0302.41.00,"-- Arenques (Clupea harengus, Clupea pallasii)"
0302.42,-- Anchovas (Biqueirões*) (Engraulis spp.)
0302.42.10,Anchoita (Engraulis anchoita)
0302.42.90,Outros
0302.43.00,"-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)"
0302.44.00,"-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
0302.45.00,-- Carapaus (Trachurus spp.)
0302.46.00,-- Bijupirá (Cobia*) (Rachycentron canadum)
0302.47.00,-- Espadarte (Xiphias gladius)
0302.49,-- Outros
0302.49.10,"Espadins, marlins, veleiros (Istiophoridae)"
0302.49.90,Outros
0302.5,"- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:"
0302.51.00,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
0302.52.00,-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
0302.53.00,-- Saithe (Escamudo*) (Pollachius virens)
0302.54.00,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)"
0302.55.00,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
0302.56.00,"-- Verdinhos (Micromesistius poutassou, Micromesistius australis)"
0302.59.00,-- Outros
0302.7,"- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:"
0302.71.00,-- Tilápias (Oreochromis spp.)
0302.72,"-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0302.72.10,Bagre americano (Ictalurus punctatus)
0302.72.90,Outros
0302.73.00,"-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0302.74.00,-- Enguias (Anguilla spp.)
0302.79.00,-- Outros
0302.8,"- Outros peixes, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:"
0302.81.00,-- Cação e outros tubarões
0302.82.00,-- Raias (Rajidae)
0302.83,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.)
0302.83.10,Merluza negra (Dissostichus eleginoides)
0302.83.20,Merluza antártica (Dissostichus mawsoni)
0302.84.00,-- Robalos (Dicentrarchus spp.)
0302.85.00,-- Esparídeos (Sparidae)
0302.89,-- Outros
0302.89.10,Pargo (Lutjanus purpureus)
0302.89.2,"Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), esturjão (Acipenser baerii) e peixes-rei (Atherina spp.)"
0302.89.21,Cherne-poveiro (Polyprion americanus)
0302.89.22,Garoupas (Acanthistius spp.)
0302.89.23,Esturjão (Acipenser baerii)
0302.89.24,Peixes-rei (Atherina spp.)
0302.89.3,"Curimatãs (Prochilodus spp.), tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos), surubins (Pseudoplatystoma spp.), traíra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.), tainhas (Mugil spp.), pirarucu (Arapaima gigas) e pescadas (Cynoscion spp.)"
0302.89.31,Curimatãs (Prochilodus spp.)
0302.89.32,"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
0302.89.33,Surubins (Pseudoplatystoma spp.)
0302.89.34,Traíra (Hoplias malabaricus & H. cf. lacerdae)
0302.89.35,Piaus (Leporinus spp.)
0302.89.36,Tainhas (Mugil spp.)
0302.89.37,Pirarucu (Arapaima gigas)
0302.89.38,Pescadas (Cynoscion spp.)
0302.89.4,"Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (híbrido de tambaqui e pacu)"
0302.89.41,Piramutaba (Brachyplatystoma vaillantii)
0302.89.42,Dourada (Brachyplatystoma flavicans)
0302.89.43,Pacu (Piaractus mesopotamicus)
0302.89.44,Tambaqui (Colossoma macropomum)
0302.89.45,Tambacu (híbrido de tambaqui e pacu)
0302.89.90,Outros
0302.9,"- Fígados, ovas, gônadas masculinas, barbatanas, cabeças, caudas, bexigas-natatórias e outros subprodutos comestíveis de peixes:"
0302.91,"-- Fígados, ovas e gônadas masculinas"
0302.91.10,Ovas de tainhas (Mugil spp.)
0302.91.90,Outros
0302.92.00,-- Barbatanas de tubarão
0302.99.00,-- Outros
03.03,"Peixes congelados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04."
0303.1,"- Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:"
0303.11.00,-- Salmão-do-pacífico (salmão-vermelho) (Oncorhynchus nerka)
0303.12.00,"-- Outros salmões-do-pacífico (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)"
0303.13.00,-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)
0303.14.00,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)"
0303.19.00,-- Outros
0303.2,"- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.), exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:"
0303.23.00,-- Tilápias (Oreochromis spp.)
0303.24,"-- Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0303.24.10,Bagre americano (Ictalurus punctatus)
0303.24.90,Outros
0303.25.00,"-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0303.26.00,-- Enguias (Anguilla spp.)
0303.29.00,-- Outros
0303.3,"- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:"
0303.31.00,"-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
0303.32.00,-- Solha (Pleuronectes platessa)
0303.33.00,-- Linguados (Solea spp.)
0303.34.00,-- Pregado (Psetta maxima)
0303.39.00,-- Outros
0303.4,"- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:"
0303.41.00,-- Albacora-branca (atum) (Thunnus alalunga)
0303.42.00,-- Albacora-laje (atum) (Thunnus albacares)
0303.43.00,-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis)
0303.44.00,-- Albacora-bandolim (atum) (Thunnus obesus)
0303.45.00,"-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)"
0303.46.00,-- Atum-azul do sul (atum) (Thunnus maccoyii)
0303.49.00,-- Outros
0303.5,"- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-índico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:"
0303.51.00,"-- Arenques (Clupea harengus, Clupea pallasii)"
0303.53.00,"-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)"
0303.54.00,"-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
0303.55.00,-- Carapaus (Trachurus spp.)
0303.56.00,-- Bijupirá (Cobia*) (Rachycentron canadum)
0303.57.00,-- Espadarte (Xiphias gladius)
0303.59,-- Outros
0303.59.10,"Espadins, marlins, veleiros (Istiophoridae)"
0303.59.20,Anchoita (Engraulis anchoita)
0303.59.90,Outros
0303.6,"- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:"
0303.63.00,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus)"
0303.64.00,-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
0303.65.00,-- Saithe (Escamudo*) (Pollachius virens)
0303.66.00,"-- Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.)"
0303.67.00,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
0303.68.00,"-- Verdinhos (Micromesistius poutassou, Micromesistius australis)"
0303.69,-- Outros
0303.69.10,Merluza rosada (Macruronus magellanicus)
0303.69.90,Outros
0303.8,"- Outros peixes, exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:"
0303.81,-- Cação e outros tubarões
0303.81.1,Tubarão-azul (Prionace glauca)
0303.81.11,Inteiro
0303.81.12,"Eviscerado, sem cabeça e sem barbatanas"
0303.81.13,"Em pedaços, com pele"
0303.81.14,"Em pedaços, sem pele"
0303.81.19,Outros
0303.81.90,Outros
0303.82.00,-- Raias (Rajidae)
0303.83,-- Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.)
0303.83.1,Merluza negra (Dissostichus eleginoides)
0303.83.11,"Evisceradas, sem cabeça e sem cauda"
0303.83.19,Outras
0303.83.2,Merluza antártica (Dissostichus mawsoni)
0303.83.21,"Evisceradas, sem cabeça e sem cauda"
0303.83.29,Outras
0303.84.00,-- Robalos (Dicentrarchus spp.)
0303.89,-- Outros
0303.89.10,Corvina (Micropogonias furnieri)
0303.89.20,Pescadas (Cynoscion spp.)
0303.89.3,Pargo (Lutjanus purpureus) e peixe-sapo (Lophius gastrophysus)
0303.89.32,Pargo (Lutjanus purpureus)
0303.89.33,Peixe-sapo (Lophius gastrophysus)
0303.89.4,"Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), tainhas (Mugil spp.), esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus), peixes-rei (Atherina spp.) e nototenias (Patagonotothen spp.)"
0303.89.41,Cherne-poveiro (Polyprion americanus)
0303.89.42,Garoupas (Acanthistius spp.)
0303.89.43,Tainhas (Mugil spp.)
0303.89.44,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)"
0303.89.45,Peixes-rei (Atherina spp.)
0303.89.46,Nototenias (Patagonotothen spp.)
0303.89.5,"Curimatãs (Prochilodus spp.), tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos), surubins (Pseudoplatystoma spp.), traíra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.) e pirarucu (Arapaima gigas)"
0303.89.51,Curimatãs (Prochilodus spp.)
0303.89.52,"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)"
0303.89.53,Surubins (Pseudoplatystoma spp.)
0303.89.54,Traíra (Hoplias malabaricus & H. cf. lacerdae)
0303.89.55,Piaus (Leporinus spp.)
0303.89.56,Pirarucu (Arapaima gigas)
0303.89.6,"Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (híbrido de tambaqui e pacu)"
0303.89.61,Piramutaba (Brachyplatystoma vaillantii)
0303.89.62,Dourada (Brachyplatystoma flavicans)
0303.89.63,Pacu (Piaractus mesopotamicus)
0303.89.64,Tambaqui (Colossoma macropomum)
0303.89.65,Tambacu (híbrido de tambaqui e pacu)
0303.89.90,Outros
0303.9,"- Fígados, ovas, gônadas masculinas, barbatanas, cabeças, caudas, bexigas-natatórias e outros subprodutos comestíveis de peixes:"
0303.91,"-- Fígados, ovas e gônadas masculinas"
0303.91.10,Ovas de tainhas (Mugil spp.)
0303.91.90,Outros
0303.92.00,-- Barbatanas de tubarão
0303.99,-- Outros
0303.99.10,Cabeças de Merluza negra (Dissostichus eleginoides)
0303.99.20,Cabeças de Merluza antártica (Dissostichus mawsoni)
0303.99.90,Outros
03.04,"Filés (filetes) de peixes e outra carne de peixes (mesmo picada), frescos, refrigerados ou congelados."
